loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defectd
275,12,0.44,2.5,3,66,8,2,0.8,47,7,8,98,17,26,104,35,26,143,43,5,0
646,12,0.44,2.4,5,30,8,3,0.6,144,9,6,168,34,43,386,24,25,148,98,7,0
846,40,0.28,2.3,3,34,8,2,0.7,79,6,5,395,25,80,262,25,36,61,83,8,0
350,42,0.19,3,3,59,8,3,0.6,144,11,6,347,29,53,428,33,58,116,83,15,0
267,12,0.44,5.9,6,37,5,5,0.5,112,15,10,100,14,69,444,32,31,98,71,16,0
573,37,0.26,4.8,6,55,5,3,0.8,77,12,6,315,50,55,148,30,26,93,53,15,0
488,43,0.28,3.8,3,40,10,4,0.9,103,9,7,363,31,57,120,35,50,74,74,10,0
376,35,0.16,3.4,2,76,6,2,0.7,73,14,10,123,32,93,428,22,33,74,51,19,0
755,40,0.46,3.1,2,38,6,4,1,131,12,5,162,31,29,340,26,37,114,84,5,0
804,16,0.44,4.7,6,96,6,5,0.9,140,9,5,120,17,87,405,34,39,109,87,12,0
670,38,0.4,3.7,3,82,9,5,1,150,13,8,284,18,83,364,17,58,93,66,19,0
324,41,0.11,5,4,41,6,2,0.7,143,14,5,92,22,74,100,17,37,143,53,20,0
801,25,0.41,3.3,7,87,4,2,0.9,138,14,6,237,28,38,230,23,59,144,90,9,0
432,15,0.18,5.2,3,74,9,3,0.5,56,10,8,378,20,79,196,35,39,126,56,17,0
963,45,0.37,4.3,4,105,9,5,0.9,55,13,6,99,21,66,162,27,59,64,40,10,0
886,10,0.27,2.3,7,101,6,3,1,75,8,9,143,46,75,240,15,51,99,44,11,0
894,36,0.45,5.8,3,107,5,3,1,62,14,10,367,36,32,272,15,51,147,66,11,0
157,23,0.24,2.1,6,85,4,4,0.9,83,11,10,380,27,91,255,16,31,126,98,16,0
334,18,0.11,4.8,3,52,4,2,1,73,5,6,163,20,47,400,21,55,135,79,14,0
941,32,0.3,2.2,3,49,4,3,0.8,134,9,7,294,44,86,255,27,42,117,73,20,0
132,28,0.26,3.6,6,117,4,3,0.7,128,13,10,252,48,52,287,20,44,103,56,6,0
924,25,0.28,5.3,7,69,6,4,0.9,144,8,7,106,20,53,458,30,25,115,65,18,0
423,15,0.18,2.6,4,108,9,5,0.6,134,6,9,98,17,68,291,18,51,130,100,5,0
510,11,0.16,2,2,68,8,3,0.7,108,13,8,197,36,50,118,21,48,127,61,5,0
374,40,0.13,4,2,111,8,4,1,63,7,6,399,31,80,144,15,47,69,71,10,0
167,29,0.43,2.5,7,89,7,4,0.6,98,6,6,368,14,73,336,31,59,69,89,6,0
316,20,0.37,3.4,7,83,4,3,0.8,52,6,10,113,37,68,137,22,37,60,73,13,0
680,39,0.17,4.3,7,63,4,5,0.5,111,13,9,265,11,89,173,30,33,136,97,15,0
997,46,0.26,2.8,4,112,10,3,1,140,6,8,274,31,88,291,23,42,114,55,10,0
835,47,0.19,3,6,42,10,3,0.7,115,9,9,359,10,69,336,17,55,82,66,17,0
422,11,0.24,3.9,5,108,10,4,0.8,111,13,8,181,38,47,488,23,47,78,65,19,0
317,39,0.21,3.3,3,64,7,2,0.8,43,10,5,238,26,99,413,16,37,123,74,7,0
771,39,0.39,3.8,6,105,7,2,0.7,77,5,8,185,15,35,227,27,54,87,73,11,0
611,18,0.46,4.2,4,74,8,3,0.9,80,11,10,222,33,30,372,20,40,87,86,13,0
505,35,0.25,5.4,2,94,6,4,0.9,98,6,8,310,10,42,387,17,59,115,81,11,0
758,21,0.45,2.9,5,57,10,3,0.8,140,13,7,131,39,35,423,17,53,88,49,17,0
569,33,0.48,3.2,5,53,6,2,0.6,90,12,5,140,21,52,269,20,34,92,44,20,0
246,50,0.37,4,7,76,6,2,0.6,114,14,6,186,24,57,411,28,25,117,85,6,0
371,39,0.33,2.8,7,39,5,4,0.5,62,14,7,241,43,78,339,26,27,88,67,8,0
242,50,0.36,4,7,106,8,3,1,61,11,9,135,47,78,152,16,37,118,84,6,0
352,10,0.13,2.4,6,103,9,3,0.9,112,8,6,179,31,67,458,34,55,71,97,12,0
862,50,0.39,2.7,4,34,10,2,0.8,94,9,9,382,28,40,183,15,42,69,53,13,0
674,14,0.11,3.1,3,40,9,2,0.7,60,15,9,260,20,27,122,25,28,96,42,13,0
651,34,0.33,3.6,6,31,4,3,1,85,9,5,390,44,56,211,29,32,101,82,19,0
369,31,0.24,4.3,2,47,9,2,0.8,150,5,6,155,38,79,473,24,41,70,76,10,0
864,43,0.11,5.3,6,81,6,3,0.9,111,11,5,332,30,58,330,35,43,144,77,18,0
698,12,0.27,3.5,5,59,7,4,1,129,5,8,213,42,78,317,27,39,144,49,20,0
538,28,0.28,5.9,6,57,9,5,0.9,78,13,10,276,18,26,197,15,52,139,59,18,0
697,37,0.27,4.8,3,63,8,5,0.7,137,13,5,360,46,49,305,29,34,80,50,15,0
508,27,0.27,5.7,7,109,8,5,0.6,100,7,10,129,25,43,335,15,39,138,44,12,0
470,49,0.24,5.9,7,47,7,5,0.6,121,9,7,296,11,56,445,34,45,92,62,18,0
324,44,0.21,3.5,4,48,7,5,0.9,42,12,7,157,28,36,117,17,52,144,90,15,0
241,46,0.46,3.1,5,86,5,3,0.6,101,15,9,82,19,74,225,30,42,138,63,14,0
621,23,0.2,5.3,5,92,9,2,0.8,127,14,9,159,12,56,446,20,31,111,100,19,0
605,15,0.16,5.2,5,119,7,3,0.9,59,7,9,302,41,55,328,29,41,82,89,20,0
193,49,0.19,2.1,7,90,8,2,0.9,54,15,10,345,15,86,410,30,49,71,63,14,0
873,31,0.33,2.8,6,37,5,5,0.9,100,7,6,337,10,83,317,18,48,90,57,6,0
148,13,0.31,5.8,2,98,10,3,0.6,150,7,9,190,25,74,206,30,36,121,75,18,0
981,42,0.31,5.8,2,71,10,4,0.9,94,14,6,307,17,92,232,19,41,127,86,7,0
212,33,0.18,4.8,5,103,5,2,0.6,144,12,8,127,27,68,324,24,60,87,72,17,0
256,13,0.11,5.3,6,69,5,3,0.5,116,13,10,259,19,55,197,20,50,109,65,15,0
742,17,0.25,3.6,3,116,8,5,0.8,121,8,8,326,17,81,348,32,59,133,69,11,0
263,34,0.12,3.5,4,51,6,4,0.8,126,5,7,127,12,72,435,17,42,66,79,13,0
911,33,0.19,5.1,4,84,10,2,1,115,15,6,217,34,90,339,33,49,116,87,18,0
796,39,0.38,2.6,5,94,5,3,0.5,128,14,10,90,32,47,243,19,30,94,75,9,0
532,49,0.16,3.6,5,52,9,5,0.6,115,14,6,287,24,70,192,25,37,100,87,14,0
710,12,0.35,3.3,5,60,10,5,1,86,6,6,389,49,37,400,29,57,117,79,20,0
165,33,0.32,5.4,5,108,4,4,0.8,119,12,7,166,12,73,281,34,28,66,44,7,0
494,33,0.2,4.4,6,114,4,2,0.6,47,14,8,232,24,58,106,23,41,134,46,5,0
490,21,0.31,2.7,4,76,9,4,0.7,85,7,7,333,48,30,311,15,54,77,64,17,0
710,45,0.2,4.9,7,77,9,2,1,68,15,7,141,14,59,323,27,47,108,63,17,0
579,14,0.16,4.7,6,63,9,5,1,45,7,5,136,30,28,484,15,40,109,94,16,0
641,45,0.16,3.2,3,55,5,5,1,73,14,10,153,48,42,375,32,58,80,83,19,0
357,23,0.27,2.2,5,118,9,2,0.6,74,8,7,206,31,53,447,33,42,63,50,14,0
666,18,0.45,2.1,7,65,6,4,0.6,141,15,5,253,49,75,110,18,52,113,84,10,0
981,31,0.17,5.5,2,62,9,4,0.9,68,14,9,129,35,77,317,21,56,84,70,10,0
111,25,0.26,4.7,7,98,6,2,0.6,138,13,6,317,13,68,307,18,57,80,97,20,0
796,44,0.17,2.6,6,53,5,3,0.6,147,14,8,197,50,63,292,32,60,148,62,5,0
838,17,0.13,4.2,7,41,8,2,0.7,51,5,10,253,25,51,414,22,50,98,59,8,0
217,40,0.45,4.7,4,60,6,4,0.6,122,13,7,373,44,64,366,29,53,111,54,16,0
798,47,0.35,2.3,3,96,10,5,0.8,118,10,10,248,28,88,382,21,43,88,49,20,0
649,23,0.33,4.7,6,111,9,4,0.5,99,10,7,331,28,95,154,24,44,93,88,17,0
868,24,0.41,3.5,5,30,5,3,0.9,78,8,5,159,32,46,398,18,50,73,70,18,0
373,30,0.45,2.1,6,45,10,4,0.7,148,7,5,238,41,87,380,21,52,146,55,15,0
887,32,0.45,2.3,3,45,9,2,0.6,47,12,8,227,12,95,112,20,42,102,69,17,0
756,27,0.4,2.1,7,70,6,4,0.9,90,12,8,388,30,99,377,29,40,121,55,18,0
448,42,0.22,5.1,7,112,7,2,0.9,71,15,7,178,30,21,378,31,48,148,75,8,0
214,37,0.29,3.1,4,73,9,4,0.6,141,12,9,313,43,39,256,26,45,106,84,5,0
400,27,0.27,5.3,7,91,5,5,0.8,122,12,7,278,49,67,265,19,27,73,51,12,0
545,13,0.17,4,2,81,7,4,0.5,147,5,9,177,50,55,155,18,25,121,75,10,0
261,14,0.11,2.5,6,107,10,4,0.6,119,10,9,114,25,27,283,35,56,117,69,15,0
564,33,0.48,5.8,4,65,10,3,0.8,86,10,6,183,32,55,279,29,34,115,89,11,0
103,32,0.34,2.8,4,42,7,4,0.6,119,15,7,119,14,46,209,35,60,133,46,16,0
839,38,0.13,2.2,6,116,9,2,0.8,46,5,8,108,37,82,328,15,40,78,40,13,0
996,41,0.41,4.6,3,77,9,2,0.9,101,8,6,357,39,90,451,16,47,143,49,20,0
836,42,0.21,4.9,4,43,5,2,0.6,40,12,7,269,31,93,236,34,58,89,78,12,0
369,43,0.41,6,7,56,4,5,0.8,45,6,10,259,11,59,104,28,44,85,71,5,0
612,17,0.31,3.3,5,109,5,4,0.7,119,13,9,300,13,43,118,35,51,66,51,14,0
880,40,0.41,3.7,3,99,10,3,0.9,96,6,5,103,28,20,423,35,47,114,50,6,0
282,44,0.32,4.6,6,76,6,5,0.9,76,15,7,239,32,76,328,22,46,122,77,11,0
619,44,0.25,2.9,5,77,5,5,0.5,47,15,5,378,36,71,303,31,37,77,46,8,0
208,28,0.17,4.4,3,61,6,3,0.9,99,14,9,379,15,25,437,29,52,121,53,17,0
991,38,0.31,5.1,5,50,6,3,0.9,71,11,5,123,34,53,430,24,31,68,46,19,0
740,49,0.17,5.6,5,56,8,4,0.8,70,7,5,332,34,99,284,26,54,93,62,12,0
405,33,0.41,5.2,6,90,9,5,0.5,112,9,5,282,27,78,387,30,37,60,93,15,0
961,14,0.23,2.4,3,76,10,4,0.7,102,12,8,257,45,86,208,17,39,120,91,20,0
754,22,0.17,2.2,3,31,7,2,0.9,67,11,9,231,39,45,245,16,58,119,53,8,0
619,39,0.21,4.9,3,94,10,3,0.6,81,11,9,398,23,71,159,29,35,79,40,7,0
723,15,0.43,4.4,4,57,4,3,0.6,54,15,5,234,27,38,204,23,33,99,77,5,0
303,15,0.3,4.1,5,108,4,4,0.7,139,10,6,115,23,69,431,29,43,114,76,13,0
256,35,0.46,4.4,7,93,5,3,0.8,43,14,9,310,18,81,309,24,42,128,58,14,0
482,21,0.26,2.9,3,61,4,2,0.7,139,5,5,321,28,54,448,19,43,92,86,12,0
880,28,0.17,4.2,5,45,9,3,0.7,114,10,6,305,48,66,437,22,37,60,99,8,0
265,14,0.29,4.1,3,89,10,3,0.8,40,8,7,269,21,66,210,29,47,131,55,7,0
652,16,0.44,4.9,7,70,4,5,0.7,147,9,9,355,25,45,232,30,36,94,78,7,0
897,20,0.2,5.2,4,51,4,3,0.9,114,14,7,151,44,69,443,33,47,133,67,9,0
643,27,0.34,3.2,7,70,7,4,0.7,65,15,7,198,43,51,442,27,34,98,79,13,0
100,17,0.25,5.3,5,49,6,4,0.8,125,12,6,131,48,35,397,29,32,103,51,6,0
713,19,0.41,5.9,6,117,4,4,1,66,10,7,298,20,84,499,28,47,107,46,15,0
431,41,0.28,2.7,7,58,7,4,0.8,51,12,5,250,32,38,475,28,59,70,82,19,0
600,19,0.28,4.6,6,48,5,4,0.7,106,9,7,353,10,53,159,30,28,114,98,8,0
119,23,0.38,5.8,7,65,9,2,0.6,93,9,10,294,11,37,174,19,46,146,49,7,0
214,43,0.39,3.3,3,60,5,3,0.9,128,10,6,218,10,64,123,30,42,118,99,15,0
471,50,0.16,5.8,5,62,6,2,0.9,105,6,7,315,10,87,388,22,25,102,55,13,0
999,11,0.34,2.3,2,119,8,5,0.9,147,5,7,103,29,26,384,20,33,87,78,12,0
951,28,0.12,4.2,7,48,5,4,0.6,70,6,6,171,36,66,341,27,30,146,55,18,0
926,36,0.49,5.8,7,42,7,3,0.8,125,15,8,299,23,62,311,27,52,60,43,18,0
414,44,0.15,5,4,56,5,4,0.9,114,15,10,94,36,38,408,21,54,146,81,17,0
345,18,0.21,4.5,5,102,6,4,1,107,10,6,123,39,74,440,19,47,144,54,14,0
159,40,0.31,2.2,3,74,10,5,0.7,127,14,5,300,15,29,240,15,30,97,63,18,0
346,32,0.3,5,3,91,8,5,0.9,81,13,7,360,27,31,143,20,35,99,47,13,0
999,36,0.4,2.2,7,103,9,5,0.9,113,9,8,102,31,52,366,29,54,90,93,12,0
680,38,0.32,3.1,7,85,5,3,0.5,48,10,5,208,41,45,422,30,41,138,95,7,0
180,11,0.39,2.9,3,71,4,3,0.9,150,10,10,323,42,48,190,22,53,77,72,9,0
187,28,0.46,3.8,4,85,6,5,0.8,72,10,7,216,50,96,263,24,43,130,56,11,0
849,22,0.29,3.7,7,51,4,5,1,128,9,9,181,47,80,437,29,38,140,53,10,0
597,14,0.36,3,4,100,6,5,0.7,89,10,9,290,35,41,247,26,41,106,76,6,0
935,11,0.31,3.7,5,30,7,3,0.6,119,11,5,378,24,60,156,32,59,97,47,9,0
170,24,0.41,2.7,5,92,8,2,0.7,71,7,9,227,20,67,277,23,46,82,97,17,0
878,43,0.33,5.7,5,55,6,5,0.6,150,8,5,275,13,41,146,18,39,125,65,14,0
645,31,0.44,2.1,2,58,6,4,0.7,90,7,7,366,37,98,279,20,32,112,53,13,0
884,36,0.26,5.2,2,77,5,2,0.7,88,6,9,110,39,24,303,28,48,104,74,11,0
228,47,0.2,2.3,4,32,8,5,0.7,132,12,7,265,40,71,364,20,59,90,95,5,0
231,31,0.47,5.9,2,31,7,3,0.8,131,14,10,227,16,22,134,19,26,128,92,6,0
775,30,0.17,4.7,4,83,8,2,0.7,89,6,8,284,33,69,413,30,59,87,41,14,0
586,41,0.44,3.7,6,120,7,5,0.9,69,9,9,197,11,99,463,28,28,131,75,19,1
662,47,0.15,2.3,7,63,4,5,0.7,114,15,7,252,27,80,154,17,59,69,89,20,1
269,43,0.11,5.4,7,118,7,3,0.5,48,5,6,220,14,37,247,30,59,130,51,11,1
371,45,0.13,5.5,5,71,4,5,0.5,126,6,7,123,36,61,192,35,59,80,52,9,1
640,38,0.5,4.3,2,71,5,5,0.6,110,13,6,246,18,88,254,17,48,119,91,6,1
993,39,0.44,5.1,6,96,6,4,0.6,113,15,6,205,35,38,216,16,31,135,44,15,1
721,29,0.15,5.6,2,35,9,2,0.8,46,11,5,103,48,79,374,27,46,104,83,17,1
533,46,0.46,5.9,5,69,8,2,0.7,45,9,8,240,18,49,497,25,41,92,82,7,1
316,18,0.25,5.1,6,96,5,5,0.7,114,8,8,177,20,52,447,27,40,142,46,14,1
652,29,0.22,5.4,5,51,6,3,0.6,55,10,8,350,20,23,247,30,56,119,50,13,1
873,20,0.11,5.5,3,108,9,5,0.7,104,12,8,300,30,25,259,24,50,102,54,19,1
847,26,0.29,5.6,6,67,9,3,1,129,6,5,203,30,98,364,32,26,110,49,16,1
806,24,0.4,2.9,6,35,8,3,0.6,40,11,7,325,22,67,291,35,36,69,89,14,1
305,40,0.19,6,5,90,9,2,1,101,6,7,317,49,64,372,23,47,121,54,6,1
830,33,0.41,5.5,7,116,8,5,0.6,69,12,6,164,42,29,486,26,31,108,99,19,1
419,28,0.4,2.4,7,99,4,5,0.6,120,5,6,271,24,67,490,15,59,135,43,10,1
508,13,0.28,5.9,6,50,4,4,0.8,60,7,8,191,14,27,370,16,29,84,41,8,1
787,19,0.34,4.7,7,96,6,2,0.9,138,14,10,384,32,96,317,29,27,139,78,14,1
765,32,0.4,5.8,6,78,10,3,0.7,52,12,10,162,10,32,381,17,49,131,82,20,1
482,28,0.16,4.7,5,53,10,5,0.7,106,7,9,369,12,47,304,22,54,129,74,14,1
548,39,0.42,5,6,76,6,2,0.6,115,12,6,113,40,33,204,26,38,61,45,20,1
629,20,0.26,2,3,74,8,4,0.8,138,7,6,235,50,89,210,30,58,147,94,18,1
562,49,0.16,4.5,4,96,10,4,0.6,120,5,9,302,40,36,130,28,45,102,59,9,1
223,20,0.46,4,4,86,10,4,0.6,85,7,6,392,34,21,215,32,51,124,45,7,1
353,44,0.46,2.8,6,53,5,4,0.8,55,14,6,297,23,87,330,16,33,121,86,10,1
330,28,0.2,3.8,4,103,6,2,0.6,74,9,5,349,16,29,421,35,36,130,66,10,1
165,21,0.26,4,2,54,7,3,0.9,122,10,7,257,20,44,188,29,48,71,76,19,1
446,21,0.39,5.9,3,87,5,2,0.9,48,10,5,119,11,88,180,23,57,67,89,8,1
